,FIPS,F-VALUES
272,12003,0.0760104325437919
273,12005,0.123087901320073
274,12007,0.0913112972521505
275,12009,0.266932539918522
276,12011,0.963375016334959
277,12013,0.0797555321877327
278,12015,0.117964055193398
279,12017,0.119823295819839
280,12019,0.149578471425807
281,12021,0.181339428062424
282,12023,0.11531321958824
283,12027,0.126301267524538
284,12029,0.0735167979125305
285,12031,0.454299110609336
286,12033,0.212079922640844
287,12035,0.0970322215125272
288,12037,0.08811882943791
289,12039,0.130743230042387
290,12041,0.0738827960699773
291,12043,0.0994925834635596
292,12045,0.0713209233187653
293,12047,0.111268120852569
294,12049,0.126492340911303
295,12051,0.146362014734984
296,12053,0.146923236328943
297,12055,0.12981075825242
298,12057,0.642312611449965
299,12061,0.125300989601782
300,12063,0.101805350369242
301,12065,0.0941540125744772
302,12067,0.0994260476051433
303,12069,0.210177706731612
304,12071,0.312786317127787
305,12073,0.232205693154996
306,12075,0.0928616229057957
307,12077,0.0831891689728127
308,12079,0.112663043794975
309,12081,0.21274756745288
310,12083,0.218132292220007
311,12085,0.109422389833937
312,12086,1.11817433314827
313,12087,0.0945489626118603
314,12089,0.0802934838077533
315,12093,0.101366936175438
316,12095,0.674124688400064
317,12097,0.259055420965668
318,12099,0.706510324059723
319,12101,0.274042501562786
320,12103,0.420000511282294
321,12105,0.327334108946586
322,12107,0.126279628996459
323,12109,0.142652356750792
324,12111,0.198626749535339
325,12115,0.160303431265204
326,12117,0.240340991114113
327,12119,0.0741494624104697
328,12121,0.0872817403414607
329,12123,0.088223446773379
330,12125,0.084820053138523
331,12127,0.236532991422953
332,12129,0.0692342637044693
333,12133,0.0939045593521952
334,13001,0.0961063241276078
335,13003,0.114206545727844
336,13005,0.0928669566858362
337,13007,0.112269901334574
338,13009,0.121247505452
339,13011,0.068805187323606
340,13013,0.102401983088239
341,13015,0.113310833176337
342,13017,0.115215223249705
343,13019,0.0852956391800939
344,13021,0.187269926845455
345,13023,0.0913448513393908
346,13025,0.0764938198739265
347,13027,0.110244703281072
348,13029,0.0847599388140516
349,13031,0.141665201150234
350,13033,0.109766084593025
351,13035,0.0954208364250952
352,13037,0.129726198704278
353,13039,0.099642224341343
354,13043,0.104957779366572
355,13045,0.12999462645688
356,13047,0.0701413171916308
357,13049,0.109293851568632
358,13051,0.25043641353669
359,13053,0.10454237547657
360,13055,0.085391996564224
361,13057,0.130324719685165
362,13059,0.158487947194404
363,13061,0.123902899857116
364,13063,0.27693277601717
365,13065,0.109968346948286
366,13067,0.364249302315536
367,13069,0.108974996606677
368,13071,0.127889465690206
369,13073,0.116821029311251
370,13075,0.0988654490405985
371,13077,0.108740196516181
372,13079,0.0840578483959844
373,13081,0.135419962348738
374,13083,0.0639584583846301
375,13085,0.0589977876649632
376,13087,0.115933183363758
377,13089,0.497748591133734
378,13091,0.0981918469174437
379,13093,0.113756168582208
380,13095,0.190534962017164
381,13097,0.170731526032804
382,13099,0.123520011148198
383,13101,0.0937741951683611
384,13103,0.088841594363461
385,13105,0.104406880347942
386,13107,0.112768093237254
387,13109,0.109332616468299
388,13111,0.0679040582307616
389,13113,0.103819061674449
390,13115,0.117438037123385
391,13117,0.118885865792365
392,13119,0.0780212186063791
393,13121,0.571174728287375
394,13123,0.0718560331386
395,13125,0.0680809986065328
396,13127,0.110814131805578
397,13129,0.0893127239587887
398,13131,0.09919907466155
399,13133,0.0955327386310298
400,13135,0.376004948674194
401,13141,0.132751064525421
402,13143,0.0655727586429073
403,13145,0.073760993858392
404,13147,0.084628345108823
405,13149,0.0735604906511335
406,13151,0.190494977548229
407,13153,0.144238403417878
408,13155,0.100762715126478
409,13157,0.0806237433429283
410,13159,0.0840769242316925
411,13161,0.0935902254109721
412,13163,0.118115175453304
413,13165,0.118150908694998
414,13167,0.103192996308675
415,13169,0.0825605941462459
416,13171,0.0904697020609243
417,13173,0.100557394377804
418,13175,0.114878006723313
419,13177,0.0789701419702616
420,13179,0.139094563711175
421,13181,0.0880358734322126
422,13183,0.113567162254843
423,13185,0.142306947095167
424,13189,0.108522476946347
425,13191,0.091101769065597
426,13193,0.135968484419565
427,13195,0.0878785662822588
428,13197,0.092232034971588
429,13199,0.104805317063205
430,13201,0.091408296277854
431,13205,0.131038879282701
432,13207,0.079516210199406
433,13209,0.0937049506089713
434,13211,0.0682377987723613
435,13213,0.0863060202308485
436,13215,0.213100226191575
437,13217,0.144456301036016
438,13219,0.0587940938817393
439,13221,0.0789636178948849
440,13223,0.118685623394708
441,13225,0.120726333974526
442,13227,0.0689911989116133
443,13229,0.0785321781134107
444,13231,0.0601965942217238
445,13233,0.0970072916563381
446,13235,0.099298649177611
447,13237,0.0927572079868037
448,13239,0.105298100060987
449,13243,0.140891662530503
450,13245,0.237456883130176
451,13247,0.153667686644315
452,13249,0.085185423711497
453,13251,0.0999956344493991
454,13253,0.0975416878942828
455,13255,0.111286282196567
456,13259,0.137095861072874
457,13261,0.125349973342637
458,13263,0.115047442960762
