"FIPS","F_VALUE","STATE","EP_POV150","EP_MINRTY","E_UNEMP"
27025,-0.00432731948247794,"Minnesota",10.9,7.3,1129
27027,0.146962537016893,"Minnesota",19.8,13.5,1106
27029,0.000570928684971318,"Minnesota",23.9,15.3,286
27031,0.0448471427418464,"Minnesota",18.1,15,49
27033,0.0343493012501482,"Minnesota",23.6,14.6,260
27037,-0.171339156987235,"Minnesota",10.9,22.7,8406
27039,-0.00688453831525641,"Minnesota",9.8,8.5,296
27041,0.0331491860521957,"Minnesota",14.4,4.3,477
27043,0.0405765392334331,"Minnesota",19,9.8,249
27045,0.0109683877136758,"Minnesota",17,4.5,279
27047,0.0173800443388958,"Minnesota",21.5,15.6,597
27049,-0.000129985554591395,"Minnesota",13.4,9,901
27051,0.00247830462034857,"Minnesota",20,5.1,148
27053,-0.614115129243988,"Minnesota",16,32.1,28944
27055,0.00710996067657122,"Minnesota",13.8,5.2,189
27059,0.00151121923962383,"Minnesota",14.4,6.5,976
27061,0.16986987353737,"Minnesota",20.1,9.3,1220
27063,-0.00428816057264871,"Minnesota",15.8,8,145
27065,-0.00110197154343063,"Minnesota",20.2,5.4,326
27067,0.0467650743128479,"Minnesota",21.2,20.9,861
27071,0.0244136252469209,"Minnesota",20.6,8.9,368
27075,0.0151150102434138,"Minnesota",14.8,4.6,139
27079,0.072068048958553,"Minnesota",13,9.2,523
27081,-0.00306176304149605,"Minnesota",20.7,4.4,81
27083,-0.0048082694103693,"Minnesota",21.1,17,420
27085,-0.0187196409307711,"Minnesota",15.1,9.5,518
27087,0.00654322536815065,"Minnesota",37.1,55.2,207
27091,0.00804143367450231,"Minnesota",21,7.5,463
27093,0.0492770920456893,"Minnesota",15.7,6.2,282
27095,-0.00344972599048884,"Minnesota",19.4,11.4,764
27097,-0.0108646185830312,"Minnesota",19.4,4.5,715
27099,0.00185076693133714,"Minnesota",23.4,22.4,608
27101,0.0036779606569481,"Minnesota",15.7,7.6,118
27103,0.103543668522448,"Minnesota",15.3,12,462
27105,0.00734632282569409,"Minnesota",25.1,41.7,262
27107,0.0111240243775802,"Minnesota",17.1,10.8,160
27109,0.0819811772146533,"Minnesota",14,20.9,2952
27111,0.0118938248219526,"Minnesota",17.3,7.7,1159
27115,0.00784707345983849,"Minnesota",20.5,11.2,833
27117,0.00980248147787221,"Minnesota",21.3,12.6,167
27119,0.0636982250572351,"Minnesota",20.5,14.2,491
27121,0.00578035236794797,"Minnesota",15.6,4.8,80
27127,0.0566408417578929,"Minnesota",18.7,13.3,122
27129,0.0599338062046468,"Minnesota",19,12.6,209
27131,-0.0145519254826714,"Minnesota",17.4,18.5,1779
27133,0.0151764700090936,"Minnesota",16.7,6.8,89
27137,0.121917357592553,"Minnesota",22,9.7,5032
27139,-0.0264362728725398,"Minnesota",8.8,19.9,2570
27141,-0.0282084171310689,"Minnesota",9.6,10.1,1272
27143,0.00849613198504841,"Minnesota",14.6,12,238
27145,0.0974000921161873,"Minnesota",20.1,15.3,4424
27147,0.00182081327348844,"Minnesota",17.8,13.8,722
27149,0.00642229592036514,"Minnesota",19.8,13.3,132
27151,0.000196040119467013,"Minnesota",22.2,9.8,160
27153,0.00746461715740471,"Minnesota",23.4,10.6,484
27155,0.000136872578097626,"Minnesota",17.8,12.3,78
27157,4.43183647632605e-05,"Minnesota",13.8,5.5,434
27161,-0.00814046264527354,"Minnesota",18.2,11,353
27163,-0.0384667775065678,"Minnesota",7.9,18.3,4344
27167,0.000929248120000575,"Minnesota",15.8,7.1,147
27169,0.0127325746335519,"Minnesota",20.5,9.1,970
27171,-0.0502123678283297,"Minnesota",9.1,8.2,2010
30039,0.0189758140133533,"Montana",23.1,5.9,50
30047,0.0407659977765088,"Montana",27.9,35,808
30061,0.0275609932450315,"Montana",30.5,8.5,121
30063,0.812638260024322,"Montana",21.3,11.9,3407
30075,0.00268686088392409,"Montana",21,8.4,6
30077,0.022857247108835,"Montana",22.1,11.2,32
30081,0.221026663379442,"Montana",20.6,8.3,1141
33013,0.0781929773019957,"New Hampshire",11.8,8.1,2843
33015,0.228841618420975,"New Hampshire",8.1,8,6081
34005,-0.0614098347822968,"New Jersey",10.5,33.4,12855
34013,-0.114100009887137,"New Jersey",23.9,70,32875
34019,0.121088401167162,"New Jersey",6.8,15.2,2680
34021,0.02465268391828,"New Jersey",17.1,51.2,11459
34023,0.338205517872154,"New Jersey",13.5,58,25243
34025,0.710581446758602,"New Jersey",10.9,25,17064
34027,0.506712049384569,"New Jersey",8.1,29.5,13302
34029,0.652982255861188,"New Jersey",16.5,15.7,14749
34031,-0.0205313962024455,"New Jersey",23.7,59.3,16291
34035,0.0994330532259493,"New Jersey",8.3,44.9,8136
34037,0.08073865133072,"New Jersey",8.9,14.7,4181
34039,-0.03510652059828,"New Jersey",16.1,61,17370
34041,0.0801900930506088,"New Jersey",12.2,19.2,3392
35001,0.385788090384864,"New Mexico",26.1,62.2,18968
35006,0.0729931735838185,"New Mexico",37.4,81.2,1163
35031,0.157834843816212,"New Mexico",49.3,91.6,3300
35039,-0.0095871150797808,"New Mexico",35,87.9,1089
35043,0.377264725889913,"New Mexico",18.7,57.3,4457
35061,0.0038174281399898,"New Mexico",27.2,67.9,2464
36001,0.344882494000698,"New York",18.4,28.8,7650
36021,0.0432572122207753,"New York",19.3,14.2,1758
36027,1.30000546743072,"New York",14.5,29.5,7639
36039,0.0726274525027929,"New York",19.5,15.4,807
36071,1.08252850444419,"New York",18.3,36.9,8900
36079,0.128758367710372,"New York",8.6,22.4,2462
36105,0.103967376465974,"New York",23,29.4,2593
36107,0.0240994646416007,"New York",19.1,5.5,1352
36111,0.755218852095141,"New York",20.2,23,4869
37003,0.0147714688002243,"North Carolina",23,13.3,1032
37005,0.00585995548650533,"North Carolina",36,13.3,162
37009,0.0213497224196596,"North Carolina",24.2,7.6,573
37011,0.00820060253692287,"North Carolina",25.3,11.4,397
37017,0.014896970749439,"North Carolina",37.1,45.2,655
37019,0.124106997719872,"North Carolina",18.2,18.6,3413
37027,0.0511500084952811,"North Carolina",27.3,13,2503
37047,0.0249002209946278,"North Carolina",35.6,40.9,1230
37049,0.0914144370268063,"North Carolina",24.1,34.8,2617
37051,0.167734043712058,"North Carolina",29.8,57.5,10747
37061,0.0293186414164858,"North Carolina",32.7,48.7,1597
37093,0.0319821382341852,"North Carolina",27.1,61,1718
37103,0.00423983576251326,"North Carolina",35.1,37.7,340
37107,0.00693213622352352,"North Carolina",34.4,51,2307
37125,0.00266847314676627,"North Carolina",18.2,23.2,1998
37133,0.247971405194334,"North Carolina",25.3,34.2,5655
37141,0.0426511148095373,"North Carolina",22,24.8,2226
37155,0.104213990124268,"North Carolina",41,75.2,3838
37163,0.0173485274353612,"North Carolina",32.4,49.3,1943
37165,0.0143102764477684,"North Carolina",40.3,57.3,1647
37189,0.0424788444322673,"North Carolina",34.1,8.4,2580
37193,0.0501500042865596,"North Carolina",27.6,12.9,1655
38097,0.811350842578599,"North Dakota",12.3,8.7,115
39005,-0.00911793046714738,"Ohio",21.5,4.7,1014
39007,0.105628834843465,"Ohio",32.3,10.9,3141
39019,-0.005950828706402,"Ohio",21,4.1,461
39021,-0.0253117627784409,"Ohio",17.9,7.3,1115
39023,0.0586806130265992,"Ohio",25.9,16.3,4370
39029,0.000540692931637738,"Ohio",23.1,6.6,2901
39033,-0.0226243671150333,"Ohio",25.3,5.1,1085
39035,2.70056624150897,"Ohio",25.9,41.8,47781
39039,-0.0153449872744253,"Ohio",17.5,13.9,879
39041,-0.124641885591942,"Ohio",7.4,16.1,2774
39043,0.0304098461220194,"Ohio",19.3,17.7,2153
39047,-0.0119970796285083,"Ohio",26.5,7.8,644
39049,-0.88993658417072,"Ohio",23.1,37.8,34844
39051,-0.0105585620820188,"Ohio",17,11.4,941
39055,0.103255058734684,"Ohio",11.7,4.9,1365
39057,-0.0908674661115964,"Ohio",17,17.2,4231
39069,-0.0132300086672683,"Ohio",16.4,10.4,624
39075,-0.0231809591208617,"Ohio",19.1,2.2,476
39077,0.0145062352492583,"Ohio",21.2,10.2,1334
39083,-0.00719689386839475,"Ohio",18.8,5.4,1277
