"","Burden","AorP"
"272",0.185193126153394,"Predicted"
"273",0.0760104325437919,"Predicted"
"274",0.123087901320073,"Predicted"
"275",0.0913112972521505,"Predicted"
"276",0.266932539918522,"Predicted"
"277",0.963375016334959,"Predicted"
"278",0.0797555321877327,"Predicted"
"279",0.117964055193398,"Predicted"
"280",0.119823295819839,"Predicted"
"281",0.149578471425807,"Predicted"
"282",0.181339428062424,"Predicted"
"283",0.11531321958824,"Predicted"
"284",0.126301267524538,"Predicted"
"285",0.0735167979125305,"Predicted"
"286",0.454299110609336,"Predicted"
"287",0.212079922640844,"Predicted"
"288",0.0970322215125272,"Predicted"
"289",0.08811882943791,"Predicted"
"290",0.130743230042387,"Predicted"
"291",0.0738827960699773,"Predicted"
"292",0.0994925834635596,"Predicted"
"293",0.0713209233187653,"Predicted"
"294",0.111268120852569,"Predicted"
"295",0.126492340911303,"Predicted"
"296",0.146362014734984,"Predicted"
"297",0.146923236328943,"Predicted"
"298",0.12981075825242,"Predicted"
"299",0.642312611449965,"Predicted"
"300",0.125300989601782,"Predicted"
"301",0.101805350369242,"Predicted"
"302",0.0941540125744772,"Predicted"
"303",0.0994260476051433,"Predicted"
"304",0.210177706731612,"Predicted"
"305",0.312786317127787,"Predicted"
"306",0.232205693154996,"Predicted"
"307",0.0928616229057957,"Predicted"
"308",0.0831891689728127,"Predicted"
"309",0.112663043794975,"Predicted"
"310",0.21274756745288,"Predicted"
"311",0.218132292220007,"Predicted"
"312",0.109422389833937,"Predicted"
"313",1.11817433314827,"Predicted"
"314",0.0945489626118603,"Predicted"
"315",0.0802934838077533,"Predicted"
"316",0.101366936175438,"Predicted"
"317",0.674124688400064,"Predicted"
"318",0.259055420965668,"Predicted"
"319",0.706510324059723,"Predicted"
"320",0.274042501562786,"Predicted"
"321",0.420000511282294,"Predicted"
"322",0.327334108946586,"Predicted"
"323",0.126279628996459,"Predicted"
"324",0.142652356750792,"Predicted"
"325",0.198626749535339,"Predicted"
"326",0.160303431265204,"Predicted"
"327",0.240340991114113,"Predicted"
"328",0.0741494624104697,"Predicted"
"329",0.0872817403414607,"Predicted"
"330",0.088223446773379,"Predicted"
"331",0.084820053138523,"Predicted"
"332",0.236532991422953,"Predicted"
"333",0.0692342637044693,"Predicted"
"334",0.0939045593521952,"Predicted"
"335",0.0961063241276078,"Predicted"
"336",0.114206545727844,"Predicted"
"337",0.0928669566858362,"Predicted"
"338",0.112269901334574,"Predicted"
"339",0.121247505452,"Predicted"
"340",0.068805187323606,"Predicted"
"341",0.102401983088239,"Predicted"
"342",0.113310833176337,"Predicted"
"343",0.115215223249705,"Predicted"
"344",0.0852956391800939,"Predicted"
"345",0.187269926845455,"Predicted"
"346",0.0913448513393908,"Predicted"
"347",0.0764938198739265,"Predicted"
"348",0.110244703281072,"Predicted"
"349",0.0847599388140516,"Predicted"
"350",0.141665201150234,"Predicted"
"351",0.109766084593025,"Predicted"
"352",0.0954208364250952,"Predicted"
"353",0.129726198704278,"Predicted"
"354",0.099642224341343,"Predicted"
"355",0.104957779366572,"Predicted"
"356",0.12999462645688,"Predicted"
"357",0.0701413171916308,"Predicted"
"358",0.109293851568632,"Predicted"
"359",0.25043641353669,"Predicted"
"360",0.10454237547657,"Predicted"
"361",0.085391996564224,"Predicted"
"362",0.130324719685165,"Predicted"
"363",0.158487947194404,"Predicted"
"364",0.123902899857116,"Predicted"
"365",0.27693277601717,"Predicted"
"366",0.109968346948286,"Predicted"
"367",0.364249302315536,"Predicted"
"368",0.108974996606677,"Predicted"
"369",0.127889465690206,"Predicted"
"370",0.116821029311251,"Predicted"
"371",0.0988654490405985,"Predicted"
"372",0.108740196516181,"Predicted"
"373",0.0840578483959844,"Predicted"
"374",0.135419962348738,"Predicted"
"375",0.0639584583846301,"Predicted"
"376",0.0589977876649632,"Predicted"
"377",0.115933183363758,"Predicted"
"378",0.497748591133734,"Predicted"
"379",0.0981918469174437,"Predicted"
"380",0.113756168582208,"Predicted"
"381",0.190534962017164,"Predicted"
"382",0.170731526032804,"Predicted"
"383",0.123520011148198,"Predicted"
"384",0.0937741951683611,"Predicted"
"385",0.088841594363461,"Predicted"
"386",0.104406880347942,"Predicted"
"387",0.112768093237254,"Predicted"
"388",0.109332616468299,"Predicted"
"389",0.0679040582307616,"Predicted"
"390",0.103819061674449,"Predicted"
"391",0.117438037123385,"Predicted"
"392",0.118885865792365,"Predicted"
